type,n,N,cr,density,lin_regress,lin_regress_err,lin_regress_r2,opt_linregress,opt_linregress_err,opt_linregress_r2,hyper_fit,hyper_fit_err,hyper_fit_r2,sqrt_fit,sqrt_fit_err,sqrt_fit_r2,piece_fit,piece_fit_err,piece_fit_r2,shapiro
PDMS,8.0,50.0,0.01,860.1606475610972,,,,277.671234,3.99412277783124,0.990318559867752,272.68438636278944,6.550428869576903,0.9901327343235518,272.81773955147713,6.550428869576903,0.99013322719561,272.8175737454603,6.550428869576903,0.9901332271957712,252.4152620979933
PDMS,8.0,50.0,0.1,860.1606475610972,,,,275.79306,4.367320456086909,0.988640411746219,271.99518575439623,6.378121646398548,0.988785943836959,262.2197638980467,6.378121646398548,0.9896113486540854,272.003159886676,6.378121646398548,0.9887809948609636,179.4804516049803
PDMS,8.0,50.0,1.0,860.1606475610972,,,,249.906693,3.2701560435240813,0.991728875283082,247.7166309589406,6.668452051388851,0.9918099988143833,232.77824981672583,6.668452051388851,0.9927154146783642,247.3356650858144,6.668452051388851,0.9918074714759004,-118.70363183135709
PDMS,8.0,50.0,10.0,860.1606475610972,,,,294.869385,3.561847987777784,0.9965410550156816,334.9987934145312,7.565594376126087,0.9962834316539152,281.202739538504,7.565594376126087,0.9815448260196852,334.88940307357296,7.565594376126087,0.996282127017914,539.0860474080529
PDMS,8.0,100.0,0.001,860.4149683383085,,,,277.768951,2.704896031229273,0.9942351960438072,270.29701131129355,5.118965908324176,0.9942959972548352,265.5366833663835,5.118965908324176,0.9947797749000002,270.1732154235219,5.118965908324176,0.9942920451608864,243.548171572484
PDMS,8.0,100.0,0.01,860.4149683383085,,,,282.426544,2.920730270247298,0.9943485482107596,267.7314402859808,5.556256215168898,0.994356178427533,258.0164962134204,5.556256215168898,0.9948893875392212,267.921564597948,5.556256215168898,0.9943526025956784,254.1127490683245
PDMS,8.0,100.0,0.1,860.4149683383085,,,,288.766357,3.193595781695898,0.9935276519715556,282.62917826161646,6.289424139447541,0.9935859777471412,281.8049328684152,6.289424139447541,0.9938400358399542,282.60526545168455,6.289424139447541,0.9935825956816314,-41.8103819446204
PDMS,8.0,100.0,1.0,860.4149683383085,,,,303.718109,3.801403916295851,0.9962243132803664,280.6016131324579,7.231438467713086,0.9957024257345402,276.2420068404628,7.231438467713086,0.9957175208727264,280.6561986069713,7.231438467713086,0.9957021243767636,180.7995787110664
PDMS,8.0,100.0,10.0,860.4149683383085,,,,360.796631,9.7403952952531,0.9980097179655628,360.7132933390633,16.92138875718536,0.9980133150138814,367.88673905402766,16.92138875718536,0.9981116949060248,359.71995944431694,16.92138875718536,0.9980096745980964,632.2307521634683
PDMS,8.0,150.0,0.001,858.0432207711443,,,,260.293976,1.656657244814866,0.9965776350082648,258.6180336914671,5.417109003301608,0.9966026060943882,258.43481589810926,5.417109003301608,0.996687077711,258.6283828799879,5.417109003301608,0.9966003275790608,252.552226296448
PDMS,8.0,150.0,0.01,858.0432207711443,,,,264.044342,1.859104437556864,0.9964601237329772,261.25647025300054,4.999165494343489,0.9965163906580096,258.5137520375749,4.999165494343489,0.9968802408831252,261.2651158886937,4.999165494343489,0.9965104613776388,243.43190437616133
PDMS,8.0,150.0,0.1,858.0432207711443,,,,286.238342,2.689317931905515,0.9964500754031635,281.0337826919522,6.012579600751042,0.9964792078700118,279.76812865840367,6.012579600751042,0.9971312639380854,281.6575823331051,6.012579600751042,0.996473838527158,237.084770170147
PDMS,8.0,150.0,1.0,858.0432207711443,,,,272.448212,2.650567190230728,0.9971115717397956,270.6200137289199,6.620005754786883,0.997034704172052,267.77988915822766,6.620005754786883,0.9972326682346588,270.344129672922,6.620005754786883,0.9970320782437082,-691.4833685827017
PDMS,8.0,150.0,10.0,858.0432207711443,,,,362.314301,3.5678249942941327,0.998082657487623,359.5959129878864,7.177968770408048,0.9980850694146354,373.3595152348017,7.177968770408048,0.9982920678876116,359.86862069310723,7.177968770408048,0.998083301776539,617.101615018852
PDMS,8.0,200.0,0.001,858.6561005870647,,,,265.314117,1.7766429515563724,0.9969521319641652,264.9608628007611,4.983813911990905,0.9969798197846196,260.5844090641267,4.983813911990905,0.9973674434433892,265.0516796231052,4.983813911990905,0.9969739763599912,245.1948028959412
PDMS,8.0,200.0,0.01,858.6561005870647,,,,267.761475,2.005005644229315,0.9966971392301291,269.7985522322503,7.11397637180977,0.9967509648497086,264.4908150760006,7.11397637180977,0.997265766772826,269.80440250120444,7.11397637180977,0.9967479760558916,263.4167184520621
PDMS,8.0,200.0,0.1,858.6561005870647,,,,278.268799,7.571366134679564,0.9960556545169738,275.34847393250107,0.7689530931864755,0.9961422081791764,273.7510199934638,0.7689530931864755,0.997209363079934,278.58065435642595,0.7689530931864755,0.9961250793501484,283.5393569281162
PDMS,8.0,200.0,1.0,858.6561005870647,,,,275.622406,6.292414949269142,0.9975468772200294,275.90025005630366,25.029160498200188,0.9975571422227248,275.32003476052074,25.029160498200188,0.9985101777760192,279.7433520304861,25.029160498200188,0.9975444922957488,244.16180465651613
PDMS,8.0,200.0,10.0,858.6561005870647,,,,374.344757,14.018560554082717,0.9979595357296313,372.4712375264119,32.11019257613543,0.9979485486049302,389.1923917535135,32.11019257613543,0.9981027309840916,371.5527015858787,32.11019257613543,0.9979446442785196,482.2546169177844
PDMS,18.0,50.0,0.01,933.9342814064836,,,,305.585083,4.490148256965695,0.9896281305819344,297.0289102736809,5.620851605720146,0.9898569530814244,307.35879657562725,5.620851605720146,0.9914559343124124,297.2038081930337,5.620851605720146,0.989846374570876,284.2434386776829
PDMS,18.0,50.0,0.1,933.9342814064836,,,,275.687714,3.827853234235071,0.9912703677173508,268.7754376406557,4.980565621766091,0.99136736556486,290.3756917146599,4.980565621766091,0.99319563098124,268.80320672206017,4.980565621766091,0.9913637765492956,100.86980340447695
PDMS,18.0,50.0,1.0,933.9342814064836,,,,298.81665,3.2921969973581096,0.995554397917445,290.42434897329167,5.042059684464879,0.9952528902669054,290.8890208692028,5.042059684464879,0.9952789837630072,290.46798180406665,5.042059684464879,0.9952537152945956,273.4340296063479
PDMS,18.0,50.0,10.0,933.9342814064836,,,,321.268158,13.662064619404775,0.9958151914712892,399.9999999993513,7.297309176831283,0.9948496214324808,400.0,7.297309176831283,0.9948491677782804,399.9999996850004,7.297309176831283,0.9948491677751672,479.87680819079344
PDMS,18.0,100.0,0.001,934.8006570298506,,,,307.501923,3.192089527757684,0.9952616785764954,303.3835773291192,3.405069741527016,0.9953285330816124,306.36900856859273,3.405069741527016,0.9957442105982104,303.399846504135,3.405069741527016,0.9953223381948498,285.9994084430157
PDMS,18.0,100.0,0.01,934.8006570298506,,,,313.198883,3.237469425773927,0.995295376732295,309.535156869612,5.129500100352895,0.995303248017603,311.05248500877605,5.129500100352895,0.9957756636050958,309.6131543490058,5.129500100352895,0.9952993118397456,284.9974242233961
PDMS,18.0,100.0,0.1,934.8006570298506,,,,320.254608,12.86100330939984,0.995584304016048,316.2450240045299,4.446601186869955,0.9956466879482828,329.008415179733,4.446601186869955,0.9966191882753666,311.3720483785143,4.446601186869955,0.9956331299138927,287.35019421647087
PDMS,18.0,100.0,1.0,934.8006570298506,,,,289.725311,11.862522095663357,0.994379294303124,287.6630948131617,11.582096198435185,0.9942908562395356,291.0481184392985,11.582096198435185,0.996168764926495,287.5291770141843,11.582096198435185,0.9942888802109016,146.3373449725199
PDMS,18.0,100.0,10.0,934.8006570298506,,,,352.44693,15.929438740769545,0.9971217324214656,366.191619388672,15.081315817124525,0.9970635000311674,366.3350288903031,15.081315817124525,0.997062214382302,366.33394955670485,15.081315817124525,0.9970622143846792,526.5164436491251
PDMS,18.0,200.0,0.001,934.3323014975124,,,,318.971252,3.7107857161813262,0.9958608477154308,313.7649634932432,3.1112238108701,0.9958733604703212,303.2475546927862,3.1112238108701,0.9962102098011228,313.8143681747632,3.1112238108701,0.9958696304446504,300.8970959936953
PDMS,18.0,200.0,0.01,934.3323014975124,,,,296.673981,2.2920294840345368,0.996659902246394,293.9702908169048,3.230007487125929,0.9967207404091996,301.3503101714233,3.230007487125929,0.9978777524829054,294.20331453960046,3.230007487125929,0.9967117977968232,275.86632067988484
PDMS,18.0,200.0,0.1,934.3323014975124,,,,300.254547,8.371343311434034,0.9965773215892954,300.3251065816132,13.208729073679912,0.9965851109662184,332.4893216938151,13.208729073679912,0.9982827660947152,299.75684290080204,13.208729073679912,0.9965767862998464,269.7004119186791
PDMS,18.0,200.0,1.0,934.3323014975124,,,,278.607147,6.500942815006698,0.9977981509234376,277.28409471325284,4.663971572431003,0.9977765052756568,276.306606605136,4.663971572431003,0.998106163203045,277.0533951661197,4.663971572431003,0.9977733737497392,256.1400002882601
PDMS,18.0,200.0,10.0,934.3323014975124,,,,378.168579,15.543651059396076,0.998555327682816,380.354446252949,35.170863862083515,0.9985405806117608,393.5821080986553,35.170863862083515,0.9986574886927376,379.476220569264,35.170863862083515,0.9985359242554268,488.3592839460319
PDMS,28.0,50.0,0.01,963.59470678803,,,,306.078918,4.00379632189755,0.9933450158535893,300.4519439700104,6.09663551466973,0.9934077049008556,301.2349120539845,6.09663551466973,0.993628165622606,300.44050217824366,6.09663551466973,0.9934027837349072,281.0068213649278
PDMS,28.0,50.0,0.1,963.59470678803,,,,287.813263,4.580019171978019,0.9906643908960272,287.68323092010786,6.540716872310096,0.9907872980164129,341.1397469363956,6.540716872310096,0.9929243119483828,289.1734549792144,6.540716872310096,0.9907779242874534,76.23692153635625
PDMS,28.0,50.0,1.0,963.59470678803,,,,276.769714,3.365271557617485,0.9952817262865304,264.16174295194526,6.378652315674475,0.9952316137469012,262.75540807618347,6.378652315674475,0.9953219315922114,264.3350634578508,6.378652315674475,0.9952293922781767,-270.49008637526987
PDMS,28.0,50.0,10.0,963.59470678803,,,,398.681152,10.826604614706088,0.998874292354968,399.99999999835296,5.735719826695717,0.9988178543619696,400.0,5.735719826695717,0.99881833314769,400.0,5.735719826695717,0.9988183323350328,553.991627060159
PDMS,28.0,100.0,0.001,959.7030150646768,,,,322.56955,2.83574899558887,0.996661251343542,313.9982316227292,4.803463085380544,0.9966927860200674,315.3086027822246,4.803463085380544,0.9968008027603428,313.90167004389133,4.803463085380544,0.9966893909177108,301.07597904368646
PDMS,28.0,100.0,0.01,959.7030150646768,,,,303.879364,3.093695759241811,0.9951829757048164,307.56520305209887,4.04488034339096,0.9952584660285934,321.418900706686,4.04488034339096,0.9968390416252042,307.25111852201786,4.04488034339096,0.995249768959895,287.72270716168305
PDMS,28.0,100.0,0.1,959.7030150646768,,,,315.441376,12.771440089152124,0.9946021271797176,312.25340044582055,22.511398747360115,0.9947357740980988,399.9999999999986,22.511398747360115,0.9970313136127082,312.182302184245,22.511398747360115,0.994731567270916,318.39687452554665
PDMS,28.0,100.0,1.0,959.7030150646768,,,,287.407379,10.1701643009085,0.9966395737719764,284.9266428501326,12.661270934049751,0.9966473484837316,296.5832548659378,12.661270934049751,0.9977310016850516,298.7356549573067,12.661270934049751,0.9966146401455794,270.78651105853487
PDMS,28.0,100.0,10.0,959.7030150646768,,,,324.037384,24.76335182611428,0.9972849050342428,200.0000000016777,32.559386130237634,0.9932252800813962,282.6880833931137,32.559386130237634,0.9930229224519448,399.8978185524511,32.559386130237634,0.9965656456938587,557.9263361176237
